"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Sylphoides","Sylphoides Moulds, 2012","","Sylphoides","","","","Synonym","synonym","Genus","","Moulds","2012","Y","db9697d3-0db5-4155-81ef-33481a324eb8","20250530T00:56:36.273+0000","84fa9799-7a7d-4cfe-8626-85bb6909aa24","20250729T23:16:11.865+0000","","902791fd-66fa-4af1-9ce6-54c35ce73f9e","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","arenaria","Sylphoides arenaria (Distant, 1907)","CICADIDAE","Sylphoides","","arenaria","","Valid Name","","Species","","Distant","1907","N","43da8bd4-97be-4805-a5f0-fae1d47f268d","20250530T00:56:36.273+0000","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","20250729T23:16:11.865+0000","84fa9799-7a7d-4cfe-8626-85bb6909aa24","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","","","","","","","","","","","","","","",""
"","","Sand Fairy","","","","","","","Common Name","","Species","","","","","059b4a79-b50b-4e47-949d-f33eb4527c82","20250530T00:56:36.273+0000","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","arenaria","Melampsalta arenaria Distant, 1907","","Melampsalta","","arenaria","","Synonym","synonym","Species","","Distant","1907","Y","8653ac9d-7118-4647-94bf-bb3745863def","20250530T00:56:36.273+0000","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","20250729T23:16:11.865+0000","","cc1e06d2-35d3-4fa1-a644-d08e864e44f8","Distant, W.L.","1907","Rhynchotal notes.--XLIII","411-423","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null5fb76f11-c0f2-49be-a007-8b426ca8862d' class='mouseoverHref'>Distant, W.L. 1907. Rhynchotal notes.--XLIII.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>20</strong>: 411-423<!--MARK-->","","Article in Journal","5fb76f11-c0f2-49be-a007-8b426ca8862d","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","arenaria","Sylphoides arenaria (Distant, 1907)","","Sylphoides","","arenaria","","Generic Combination","","Species","","Distant","1907","N","69f8983b-9981-4a91-8557-3887c94eb995","20250530T00:56:36.273+0000","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","20250729T23:16:11.865+0000","","38773436-94d6-4553-a938-bd3238f2b218","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","arenaria","Cicadetta arenaria (Distant, 1907)","","Cicadetta","","arenaria","","Generic Combination","","Species","","Distant","1907","N","fff28050-7c4c-4ad0-b5dc-c477168e991d","20250530T00:56:36.273+0000","88cd3ad1-7b95-4331-a79b-eaab767ef1d9","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","Taurella","Taurella Moulds, 2012","CICADIDAE","Taurella","","","","Valid Name","","Genus","","Moulds","2012","Y","39a5920e-e05c-4f83-8272-34da7ea48da6","20250530T00:56:36.273+0000","19e856c1-cdc3-4601-8837-5224fbf79bf8","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","19e856c1-cdc3-4601-8837-5224fbf79bf8","","","","","","","","","","","","","","",""
"","","Taurella","Taurella Moulds, 2012","","Taurella","","","","Synonym","synonym","Genus","","Moulds","2012","Y","8580239a-4270-42fc-be37-f708a2d04a39","20250530T00:56:36.273+0000","19e856c1-cdc3-4601-8837-5224fbf79bf8","20250729T23:16:11.865+0000","","af75a092-af1b-48d2-8b7d-8c96d9db5df1","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","viridis","Taurella viridis (Ashton, 1912)","CICADIDAE","Taurella","","viridis","","Valid Name","","Species","","Ashton","1912","N","a543ab3a-15e4-428a-9586-e0fa27b23d58","20250530T00:56:36.273+0000","db01430a-fb65-477c-9cd1-0a55063fefef","20250729T23:16:11.865+0000","19e856c1-cdc3-4601-8837-5224fbf79bf8","db01430a-fb65-477c-9cd1-0a55063fefef","","","","","","","","","","","","","","",""
"","","viridis","Melampsalta viridis Ashton, 1912","","Melampsalta","","viridis","","Synonym","synonym","Species","","Ashton","1912","Y","f4620bbf-590c-4bfb-8ecd-3e030bef790f","20250530T00:56:36.273+0000","db01430a-fb65-477c-9cd1-0a55063fefef","20250729T23:16:11.865+0000","","6fa2410d-0938-4ae3-a745-6849a9edc982","Ashton, H.","1912","Some new Australian Cicadidae","221-229, pls 49-51","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='null58dc6822-5885-4030-bd03-2c1a05711269' class='mouseoverHref'>Ashton, H. 1912. Some new Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> ns <strong>24</strong>: 221-229, pls 49-51<!--MARK-->","","Article in Journal","58dc6822-5885-4030-bd03-2c1a05711269","20081009T05:11:37.000+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"","","viridis","Taurella viridis (Ashton, 1912)","","Taurella","","viridis","","Generic Combination","","Species","","Ashton","1912","N","f9f8117e-1fb4-40ca-b8db-6201f79352ff","20250530T00:56:36.273+0000","db01430a-fb65-477c-9cd1-0a55063fefef","20250729T23:16:11.865+0000","","ab36c239-f004-48dd-8165-e331031f5fee","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","viridis","Cicadetta viridis (Ashton, 1912)","","Cicadetta","","viridis","","Generic Combination","","Species","","Ashton","1912","N","9ad3703e-53f5-4ab1-ae1b-a37ceabe5bbf","20250530T00:56:36.273+0000","db01430a-fb65-477c-9cd1-0a55063fefef","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","forresti","Taurella forresti (Distant, 1882)","CICADIDAE","Taurella","","forresti","","Valid Name","","Species","","Distant","1882","N","a9f29b95-8e0a-4e92-926f-a1be532d8f8d","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","19e856c1-cdc3-4601-8837-5224fbf79bf8","2415147c-7033-47f3-8f2f-01e86a7778ba","","","","","","","","","","","","","","",""
"","","forresti","Melampsalta forresti Distant, 1882","","Melampsalta","","forresti","","Synonym","synonym","Species","","Distant","1882","Y","7ecabd59-fe9f-4079-b31a-f975f0f7ae66","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","a8c1124f-f778-4364-9281-777862f286eb","Distant, W.L.","1882","On some undescribed Cicadidae from Australia and the Pacific region","125-134, pl. 7","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null41f6db76-6fdd-4eec-afb2-cbefb0e733de' class='mouseoverHref'>Distant, W.L. 1882. On some undescribed Cicadidae from Australia and the Pacific region.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1882</strong>: 125-134, pl. 7<!--MARK-->","","Article in Journal","41f6db76-6fdd-4eec-afb2-cbefb0e733de","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"","","warburtoni","Melampsalta warburtoni Distant, 1882","","Melampsalta","","warburtoni","","Synonym","synonym","Species","","Distant","1882","Y","fb086094-e5b0-438e-8f32-b6004ff3cdc4","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","bae04916-3322-4543-8fb6-a540e6f0eb61","Distant, W.L.","1882","On some undescribed Cicadidae from Australia and the Pacific region","125-134, pl. 7","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null41f6db76-6fdd-4eec-afb2-cbefb0e733de' class='mouseoverHref'>Distant, W.L. 1882. On some undescribed Cicadidae from Australia and the Pacific region.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1882</strong>: 125-134, pl. 7<!--MARK-->","","Article in Journal","41f6db76-6fdd-4eec-afb2-cbefb0e733de","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"","","capistrata","Melampsalta capistrata Ashton, 1912","","Melampsalta","","capistrata","","Synonym","synonym","Species","","Ashton","1912","Y","2a65ff7e-5c34-4cb1-8af6-53afd30a18e7","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","db441266-8d17-4b35-85e4-f51ca9247fda","Ashton, H.","1912","Descriptions of new Australian Cicadidae in the National Museum, Melbourne","30-32, pl. 4","","Memoirs of the National Museum of Victoria, Melbourne","","","","<!--MARK--><a href='nullaac694e6-5a7d-41b2-9130-bbbe17b183d7' class='mouseoverHref'>Ashton, H. 1912. Descriptions of new Australian Cicadidae in the National Museum, Melbourne.</a> <!--MARK--><!--MARK--><a href='null6d019674-04b0-4fab-8903-0612d147ec4d' class='mouseoverHref'><em>Memoirs of the National Museum of Victoria, Melbourne</em></a> <strong>4</strong>: 30-32, pl. 4<!--MARK-->","","Article in Journal","aac694e6-5a7d-41b2-9130-bbbe17b183d7","20081009T05:11:37.000+0000","6d019674-04b0-4fab-8903-0612d147ec4d"
"","","capistrata","Cicadetta capistrata (Ashton, 1912)","","Cicadetta","","capistrata","","Generic Combination","","Species","","Ashton","1912","N","131d826f-7c92-47e5-a25c-8f43b266286f","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","09d7f658-6baf-4254-a3a6-d7b6e906da37","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","forresti","Cicadetta forresti (Distant, 1882)","","Cicadetta","","forresti","","Generic Combination","","Species","","Distant","1882","N","9a216b25-46a0-42f0-a3a4-354789531ffd","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","112d8731-4471-4d16-92cc-78264afa2d32","Weidner, V.H. & Wagner, W.","1968","Die Entomologischen Sammlungen des Zoologischen Staatsinstituts und Zoologischen Museums Hamburg VII. Teil. Insecta IV","123-179","","Mitteilungen des Hamburgerischen Zoologisches Museums und Instituts","","","","<!--MARK--><a href='null264f1ee7-b6ef-4df9-b9bc-783ca8e06e54' class='mouseoverHref'>Weidner, V.H. & Wagner, W. 1968. Die Entomologischen Sammlungen des Zoologischen Staatsinstituts und Zoologischen Museums Hamburg VII. Teil. Insecta IV.</a> <!--MARK--><!--MARK--><a href='null1aef5a4d-a4d9-440a-a95f-df9041526540' class='mouseoverHref'><em>Mitteilungen des Hamburgerischen Zoologisches Museums und Instituts</em></a> <strong>65</strong>: 123-179<!--MARK-->","","Article in Journal","264f1ee7-b6ef-4df9-b9bc-783ca8e06e54","20081009T05:11:37.000+0000","1aef5a4d-a4d9-440a-a95f-df9041526540"
"","","forresti","Taurella forresti (Distant, 1882)","","Taurella","","forresti","","Generic Combination","","Species","","Distant","1882","N","c66ef54b-d813-4b46-9b17-9cd50d4d14d8","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","6dfad3eb-fc8e-47de-a67a-22f643fc8dbb","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","warburtoni","Cicadetta warburtoni (Distant, 1882)","","Cicadetta","","warburtoni","","Generic Combination","","Species","","Distant","1882","N","81d1d4db-81e5-411a-af22-eb95b1a516d9","20250530T00:56:36.273+0000","2415147c-7033-47f3-8f2f-01e86a7778ba","20250729T23:16:11.865+0000","","e96fa29a-e58b-4cfa-b8e1-596c38361d09","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","froggatti","Taurella froggatti (Distant, 1907)","CICADIDAE","Taurella","","froggatti","","Valid Name","","Species","","Distant","1907","N","d16af7ea-89a7-4bbf-a44f-68b3c6d87280","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","19e856c1-cdc3-4601-8837-5224fbf79bf8","ae03c7ce-770d-42a9-b6ad-389302860673","","","","","","","","","","","","","","",""
"","","Red Fairy","","","","","","","Common Name","","Species","","","","","b3dde094-c870-4008-b7d5-d99c84218b68","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","froggatti","Melampsalta froggatti Distant, 1907","","Melampsalta","","froggatti","","Synonym","synonym","Species","","Distant","1907","Y","008d0012-1d72-4bcb-8a05-4581d85efb81","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","ffa957cd-f6cd-4ba4-b6fc-dc89423411f9","Distant, W.L.","1907","Rhynchotal notes.--XLIII","411-423","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null5fb76f11-c0f2-49be-a007-8b426ca8862d' class='mouseoverHref'>Distant, W.L. 1907. Rhynchotal notes.--XLIII.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>20</strong>: 411-423<!--MARK-->","","Article in Journal","5fb76f11-c0f2-49be-a007-8b426ca8862d","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","sulcata","Melampsalta sulcata Distant, 1907","","Melampsalta","","sulcata","","Synonym","synonym","Species","","Distant","1907","Y","a460af01-e178-43c5-9ed6-06d024c2e233","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","df2429ee-1b67-4b14-8d8a-48fa181a9cbd","Distant, W.L.","1907","Rhynchotal notes.--XLIII","411-423","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null5fb76f11-c0f2-49be-a007-8b426ca8862d' class='mouseoverHref'>Distant, W.L. 1907. Rhynchotal notes.--XLIII.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>20</strong>: 411-423<!--MARK-->","","Article in Journal","5fb76f11-c0f2-49be-a007-8b426ca8862d","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","froggatti","Taurella froggatti (Distant, 1907)","","Taurella","","froggatti","","Generic Combination","","Species","","Distant","1907","N","51763b1e-491d-472e-8200-06771478afb7","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","0263cc8a-1cdd-4fbe-83cb-590defb488e7","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","froggatti","Cicadetta froggatti (Distant, 1907)","","Cicadetta","","froggatti","","Generic Combination","","Species","","Distant","1907","N","42fa1b53-f03d-46c2-be42-d64c25bc0ab4","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","6e1763e9-5193-400a-9f14-8d382a74b575","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","sulcata","Cicadetta sulcata (Distant, 1907)","","Cicadetta","","sulcata","","Generic Combination","","Species","","Distant","1907","N","f65c1f2c-f267-44a8-94b9-1c010956244f","20250530T00:56:36.273+0000","ae03c7ce-770d-42a9-b6ad-389302860673","20250729T23:16:11.865+0000","","8a5fff9c-f99c-4817-8537-c4c8906cf2d6","Metcalf, Z.P.","1963","General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts","1411","","","","","University of North Carolina State College","<!--MARK--><a href='null6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95' class='mouseoverHref'>Metcalf, Z.P. 1963. <em>General Catalogue of the Homoptera.  Fasc. 8.  Cicadoidea, in two parts</em>. Raleigh : University of North Carolina State College 1411 pp.</a><!--MARK-->","","Book","6d75b03c-e4c8-4cfb-a5a4-9716dbbf7d95","20081009T05:11:37.000+0000",""
"","","Telmapsalta","Telmapsalta Moulds, 2012","CICADIDAE","Telmapsalta","","","","Valid Name","","Genus","","Moulds","2012","Y","b1dfd034-188c-448d-8851-6a0cd316abbe","20250530T00:56:36.273+0000","ccf6ec0d-26bf-4600-9b13-5f70dea6ac0f","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","ccf6ec0d-26bf-4600-9b13-5f70dea6ac0f","","","","","","","","","","","","","","",""
"","","Telmapsalta","Telmapsalta Moulds, 2012","","Telmapsalta","","","","Synonym","synonym","Genus","","Moulds","2012","Y","f2954842-9e2d-4fbe-8ee6-30d826c6694d","20250530T00:56:36.273+0000","ccf6ec0d-26bf-4600-9b13-5f70dea6ac0f","20250729T23:16:11.865+0000","","115a1b94-2d97-42d6-8cac-c91ccfb8c1ef","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","hackeri","Telmapsalta hackeri (Distant, 1915)","CICADIDAE","Telmapsalta","","hackeri","","Valid Name","","Species","","Distant","1915","N","49121817-771f-47be-9f9c-cfc674d9eee5","20250530T00:56:36.273+0000","7eabf58a-8047-466c-bd3d-92afb1a54677","20250729T23:16:11.865+0000","ccf6ec0d-26bf-4600-9b13-5f70dea6ac0f","7eabf58a-8047-466c-bd3d-92afb1a54677","","","","","","","","","","","","","","",""
"","","Paperbark Cicada","","","","","","","Common Name","","Species","","","","","2653f307-b814-4927-80b6-91d7d8202e1a","20250530T00:56:36.273+0000","7eabf58a-8047-466c-bd3d-92afb1a54677","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","hackeri","Melampsalta hackeri Distant, 1915","","Melampsalta","","hackeri","","Synonym","synonym","Species","","Distant","1915","Y","7f4f1536-4dfb-41e2-9309-a0fbbad8af31","20250530T00:56:36.273+0000","7eabf58a-8047-466c-bd3d-92afb1a54677","20250729T23:16:11.865+0000","","7fe3c8c1-a85a-480f-ae0b-ebdc1a1f854b","Distant, W.L.","1915","On some Australian Cicadidae","50-53","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null263219e3-1109-4f72-a27b-4d78a8f8ed1c' class='mouseoverHref'>Distant, W.L. 1915. On some Australian Cicadidae.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>16</strong>: 50-53<!--MARK-->","","Article in Journal","263219e3-1109-4f72-a27b-4d78a8f8ed1c","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","hackeri","Telmapsalta hackeri (Distant, 1915)","","Telmapsalta","","hackeri","","Generic Combination","","Species","","Distant","1915","N","d80db293-e6b2-4820-8c77-c8b1314f160d","20250530T00:56:36.273+0000","7eabf58a-8047-466c-bd3d-92afb1a54677","20250729T23:16:11.865+0000","","a967d998-5485-45a0-b82e-7ed04cb122d8","Moulds, M.S.","2012","A review of the genera of Australian cicadas (Hemiptera: Cicadoidea)","1-262","","Zootaxa","","","","<!--MARK--><a href='null7d5bc907-5eaf-4c7c-8dad-9a78de7b930c' class='mouseoverHref'>Moulds, M.S. 2012. A review of the genera of Australian cicadas (Hemiptera: Cicadoidea).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3287</strong>: 1-262<!--MARK-->","","Article in Journal","7d5bc907-5eaf-4c7c-8dad-9a78de7b930c","20120514T03:49:52.260+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","hackeri","Cicadetta hackeri (Distant, 1915)","","Cicadetta","","hackeri","","Generic Combination","","Species","","Distant","1915","N","991ca5aa-7cf7-4ed0-a79d-531ce88a6837","20250530T00:56:36.273+0000","7eabf58a-8047-466c-bd3d-92afb1a54677","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","Terepsalta","Terepsalta Moulds, 2012","CICADIDAE","Terepsalta","","","","Valid Name","","Genus","","Moulds","2012","Y","e3ec2388-09de-4fbc-a932-f527116207cf","20250530T00:56:36.273+0000","d9c73d0f-69d0-4d3b-9438-eab3a323252e","20250729T23:16:11.865+0000","7914c248-f79e-48e5-8f7c-ce89e7eef58e","d9c73d0f-69d0-4d3b-9438-eab3a323252e","","","","","","","","","","","","","","",""
